OrderDate,ProductName,UnitPrice,Quantity,UnitPriceDiscounted,TotalPrice,ShipName,ShipCountry,IsEurophian
1997-02-18 00.00.00.000,Filo Mix,"7,00",20,7,140,Blondel père et fils,France,1
1997-02-18 00.00.00.000,Tarte au sucre,"49,30",35,"49,3","1725,5",Blondel père et fils,France,1
1997-02-19 00.00.00.000,Ikura,"31,00",20,"24,800001","496,00003",Victuailles en stock,France,1
1997-02-19 00.00.00.000,Tourtière,"7,45",6,"5,96","35,760002",Victuailles en stock,France,1
1997-02-19 00.00.00.000,Pâté chinois,"24,00",120,"21,599998","2591,9998",QUICK-Stop,Germany,1
1997-02-19 00.00.00.000,Wimmers gute Semmelknödel,"33,25",35,"29,925","1047,375",QUICK-Stop,Germany,1
1997-02-19 00.00.00.000,Louisiana Fiery Hot Pepper Sauce,"21,05",28,"18,945","530,45996",QUICK-Stop,Germany,1
1997-02-19 00.00.00.000,Original Frankfurter grüne Soße,"13,00",55,"11,7","643,5",QUICK-Stop,Germany,1
1997-02-20 00.00.00.000,Rössle Sauerkraut,"45,60",15,"45,6",684,Save-a-lot Markets,USA,0
1997-02-20 00.00.00.000,Gula Malacca,"19,45",100,"18,4775","1847,7501",Save-a-lot Markets,USA,0
1997-02-21 00.00.00.000,Chocolade,"12,75",15,"11,474999","172,12498",Around the Horn,UK,1
1997-02-21 00.00.00.000,Outback Lager,"15,00",25,"13,5","337,5",Around the Horn,UK,1
1997-02-21 00.00.00.000,Pavlova,"17,45",20,"13,960001","279,2",La maison d'Asie,France,1
1997-02-21 00.00.00.000,Geitost,"2,50",20,2,40,La maison d'Asie,France,1
1997-02-21 00.00.00.000,Spegesild,"12,00",10,"9,6",96,La maison d'Asie,France,1
1997-02-24 00.00.00.000,Chartreuse verte,"18,00",20,18,360,Wartian Herkku,Finland,1
1997-02-24 00.00.00.000,Perth Pasties,"32,80",50,"32,8",1640,Wartian Herkku,Finland,1
1997-02-24 00.00.00.000,Sirop d'érable,"28,50",25,"28,5","712,5",Wartian Herkku,Finland,1
1997-02-24 00.00.00.000,Flotemysost,"21,50",30,"21,5",645,Wartian Herkku,Finland,1
1997-02-25 00.00.00.000,Sir Rodney's Scones,"10,00",40,"8,5",340,Königlich Essen,Germany,1
1997-02-25 00.00.00.000,Maxilaku,"20,00",21,17,357,Königlich Essen,Germany,1
1997-02-25 00.00.00.000,Raclette Courdavault,"55,00",36,55,1980,Königlich Essen,Germany,1
1997-02-26 00.00.00.000,Gumbär Gummibärchen,"31,23",30,"31,23","936,89996",Suprêmes délices,Belgium,1
1997-02-26 00.00.00.000,Rössle Sauerkraut,"45,60",30,"45,6",1368,Suprêmes délices,Belgium,1
1997-02-26 00.00.00.000,Ipoh Coffee,"46,00",20,46,920,Suprêmes délices,Belgium,1
1997-02-26 00.00.00.000,Gnocchi di nonna Alice,"38,00",15,38,570,Suprêmes délices,Belgium,1
1997-02-26 00.00.00.000,Flotemysost,"21,50",50,"21,5",1075,Suprêmes délices,Belgium,1
1997-02-27 00.00.00.000,Uncle Bob's Organic Dried Pears,"30,00",16,"28,5",456,Victuailles en stock,France,1
1997-02-27 00.00.00.000,Spegesild,"12,00",20,"11,4",228,Victuailles en stock,France,1
1997-02-27 00.00.00.000,Mozzarella di Giovanni,"34,80",40,"34,8",1392,Victuailles en stock,France,1
1997-02-28 00.00.00.000,Scottish Longbreads,"12,50",21,"9,375","196,875",Folk och fä HB,Sweden,1
1997-02-28 00.00.00.000,Rhönbräu Klosterbier,"7,75",4,"5,8125","23,25",Folk och fä HB,Sweden,1
1997-02-28 00.00.00.000,Sir Rodney's Scones,"10,00",40,"7,5",300,LILA-Supermercado,Venezuela,1
1997-02-28 00.00.00.000,Nord-Ost Matjeshering,"25,89",28,"19,4175","543,69",LILA-Supermercado,Venezuela,1
1997-02-28 00.00.00.000,Pâté chinois,"24,00",60,18,1080,LILA-Supermercado,Venezuela,1
1997-03-03 00.00.00.000,Konbu,"6,00",1,6,6,Consolidated Holdings,UK,1
1997-03-03 00.00.00.000,Tunnbröd,"9,00",21,9,189,Consolidated Holdings,UK,1
1997-03-04 00.00.00.000,Teatime Chocolate Biscuits,"9,20",21,"9,2","193,2",Suprêmes délices,Belgium,1
1997-03-04 00.00.00.000,Singaporean Hokkien Fried Mee,"14,00",50,14,700,Suprêmes délices,Belgium,1
1997-03-04 00.00.00.000,Chef Anton's Cajun Seasoning,"22,00",16,"17,6","281,6",Furia Bacalhau e Frutos do Mar,Portugal,1
1997-03-04 00.00.00.000,Ipoh Coffee,"46,00",3,46,138,Furia Bacalhau e Frutos do Mar,Portugal,1
1997-03-04 00.00.00.000,Gnocchi di nonna Alice,"38,00",30,"30,4",912,Furia Bacalhau e Frutos do Mar,Portugal,1
1997-03-04 00.00.00.000,Camembert Pierrot,"34,00",20,34,680,Furia Bacalhau e Frutos do Mar,Portugal,1
1997-03-05 00.00.00.000,Guaraná Fantástica,"4,50",25,"4,5","112,5",Vaffeljernet,Denmark,1
1997-03-05 00.00.00.000,Thüringer Rostbratwurst,"123,79",18,"111,410995","2005,398",Vaffeljernet,Denmark,1
1997-03-05 00.00.00.000,Boston Crab Meat,"18,40",20,"18,4",368,Vaffeljernet,Denmark,1
1997-03-05 00.00.00.000,Rogede sild,"9,50",30,"8,55","256,5",Vaffeljernet,Denmark,1
1997-03-05 00.00.00.000,Valkoinen suklaa,"16,25",25,"16,25","406,25",Vaffeljernet,Denmark,1
1997-03-06 00.00.00.000,Queso Cabrales,"21,00",10,21,210,Comércio Mineiro,Brazil,0
1997-03-06 00.00.00.000,Spegesild,"12,00",5,12,60,Comércio Mineiro,Brazil,0
1997-03-06 00.00.00.000,Guaraná Fantástica,"4,50",28,"4,5",126,Magazzini Alimentari Riuniti,Italy,1
1997-03-06 00.00.00.000,NuNuCa Nuß-Nougat-Creme,"14,00",12,14,168,Magazzini Alimentari Riuniti,Italy,1
1997-03-07 00.00.00.000,Nord-Ost Matjeshering,"25,89",8,"25,89","207,12",Königlich Essen,Germany,1
1997-03-07 00.00.00.000,Ipoh Coffee,"46,00",15,46,690,Königlich Essen,Germany,1
1997-03-10 00.00.00.000,Chang,"19,00",40,"16,15",646,White Clover Markets,USA,0
1997-03-10 00.00.00.000,Pavlova,"17,45",35,"14,832501","519,1376",White Clover Markets,USA,0
1997-03-10 00.00.00.000,Gula Malacca,"19,45",2,"16,532501","33,065002",White Clover Markets,USA,0
1997-03-11 00.00.00.000,Carnarvon Tigers,"62,50",30,"62,5",1875,Bon app',France,1
1997-03-11 00.00.00.000,Tunnbröd,"9,00",15,9,135,Bon app',France,1
1997-03-11 00.00.00.000,Wimmers gute Semmelknödel,"33,25",8,"33,25",266,Bon app',France,1
1997-03-11 00.00.00.000,Uncle Bob's Organic Dried Pears,"30,00",30,30,900,B's Beverages,UK,1
1997-03-11 00.00.00.000,Gnocchi di nonna Alice,"38,00",20,38,760,B's Beverages,UK,1
1997-03-12 00.00.00.000,Guaraná Fantástica,"4,50",80,"4,275",342,Seven Seas Imports,UK,1
1997-03-12 00.00.00.000,Manjimup Dried Apples,"53,00",18,53,954,Seven Seas Imports,UK,1
1997-03-13 00.00.00.000,Geitost,"2,50",12,"2,5",30,Island Trading,UK,1
1997-03-13 00.00.00.000,Flotemysost,"21,50",12,"21,5",258,Island Trading,UK,1
1997-03-13 00.00.00.000,Tofu,"23,25",12,"23,25",279,Pericles Comidas clásicas,Mexico,0
1997-03-13 00.00.00.000,Rössle Sauerkraut,"45,60",18,"45,6","820,8",Pericles Comidas clásicas,Mexico,0
1997-03-13 00.00.00.000,Boston Crab Meat,"18,40",21,"18,4","386,4",Pericles Comidas clásicas,Mexico,0
1997-03-13 00.00.00.000,Rhönbräu Klosterbier,"7,75",10,"7,75","77,5",Pericles Comidas clásicas,Mexico,0
1997-03-14 00.00.00.000,Gorgonzola Telino,"12,50",35,"10,625","371,875",Suprêmes délices,Belgium,1
1997-03-14 00.00.00.000,Louisiana Hot Spiced Okra,"17,00",60,"14,450001","867,00006",Suprêmes délices,Belgium,1
1997-03-14 00.00.00.000,Lakkalikööri,"18,00",42,"15,3","642,60004",Suprêmes délices,Belgium,1
1997-03-17 00.00.00.000,Pâté chinois,"24,00",2,"22,8","45,6",HILARION-Abastos,Venezuela,1
1997-03-17 00.00.00.000,Outback Lager,"15,00",12,15,180,HILARION-Abastos,Venezuela,1
1997-03-17 00.00.00.000,Chai,"18,00",15,18,270,Princesa Isabel Vinhos,Portugal,1
1997-03-17 00.00.00.000,Sir Rodney's Scones,"10,00",21,"7,5","157,5",Princesa Isabel Vinhos,Portugal,1
1997-03-17 00.00.00.000,Chartreuse verte,"18,00",20,"13,5",270,Princesa Isabel Vinhos,Portugal,1
1997-03-18 00.00.00.000,Ikura,"31,00",20,"29,449999",589,Victuailles en stock,France,1
1997-03-19 00.00.00.000,Côte de Blaye,"263,50",30,"263,5",7905,Rattlesnake Canyon Grocery,USA,0
1997-03-19 00.00.00.000,Perth Pasties,"32,80",28,"32,8","918,39996",Rattlesnake Canyon Grocery,USA,0
1997-03-19 00.00.00.000,Raclette Courdavault,"55,00",60,55,3300,Rattlesnake Canyon Grocery,USA,0
1997-03-19 00.00.00.000,Wimmers gute Semmelknödel,"33,25",30,"33,25","997,5",Rattlesnake Canyon Grocery,USA,0
1997-03-20 00.00.00.000,Zaanse koeken,"9,50",30,"9,5",285,Folies gourmandes,France,1
1997-03-20 00.00.00.000,Raclette Courdavault,"55,00",12,55,660,Folies gourmandes,France,1
1997-03-20 00.00.00.000,Maxilaku,"20,00",24,20,480,Ricardo Adocicados,Brazil,0
1997-03-20 00.00.00.000,Camembert Pierrot,"34,00",40,34,1360,Ricardo Adocicados,Brazil,0
1997-03-21 00.00.00.000,Boston Crab Meat,"18,40",10,"18,4",184,Lazy K Kountry Store,USA,0
1997-03-24 00.00.00.000,Sasquatch Ale,"14,00",35,"13,3","465,5",White Clover Markets,USA,0
1997-03-24 00.00.00.000,Original Frankfurter grüne Soße,"13,00",30,"12,349999","370,49997",White Clover Markets,USA,0
1997-03-24 00.00.00.000,Sir Rodney's Scones,"10,00",14,10,140,B's Beverages,UK,1
1997-03-24 00.00.00.000,Boston Crab Meat,"18,40",10,"18,4",184,B's Beverages,UK,1
1997-03-24 00.00.00.000,Manjimup Dried Apples,"53,00",3,53,159,B's Beverages,UK,1
1997-03-25 00.00.00.000,Chang,"19,00",20,"17,1",342,LINO-Delicateses,Venezuela,1
1997-03-25 00.00.00.000,Aniseed Syrup,"10,00",20,9,180,LINO-Delicateses,Venezuela,1
1997-03-25 00.00.00.000,Pâté chinois,"24,00",30,"21,599998","647,99994",LINO-Delicateses,Venezuela,1
1997-03-25 00.00.00.000,Outback Lager,"15,00",60,"13,5",810,LINO-Delicateses,Venezuela,1
1997-03-26 00.00.00.000,Queso Cabrales,"21,00",5,21,105,HILARION-Abastos,Venezuela,1
1997-03-26 00.00.00.000,Manjimup Dried Apples,"53,00",25,53,1325,HILARION-Abastos,Venezuela,1
1997-03-26 00.00.00.000,Longlife Tofu,"10,00",16,10,160,HILARION-Abastos,Venezuela,1
1997-03-26 00.00.00.000,Teatime Chocolate Biscuits,"9,20",5,"9,2",46,Queen Cozinha,Brazil,0
1997-03-26 00.00.00.000,Gumbär Gummibärchen,"31,23",30,"31,23","936,89996",Queen Cozinha,Brazil,0
1997-03-26 00.00.00.000,Tourtière,"7,45",24,"5,5874996","134,09999",Queen Cozinha,Brazil,0
1997-03-27 00.00.00.000,Raclette Courdavault,"55,00",30,55,1650,Frankenversand,Germany,1
1997-03-27 00.00.00.000,Röd Kaviar,"15,00",20,12,240,Frankenversand,Germany,1
1997-03-28 00.00.00.000,Queso Cabrales,"21,00",15,"15,75","236,25",Piccolo und mehr,Austria,1
1997-03-28 00.00.00.000,Pavlova,"17,45",18,"17,45","314,1",Piccolo und mehr,Austria,1
1997-03-31 00.00.00.000,Raclette Courdavault,"55,00",60,55,3300,HILARION-Abastos,Venezuela,1
1997-03-31 00.00.00.000,Scottish Longbreads,"12,50",30,"12,5",375,HILARION-Abastos,Venezuela,1
1997-03-31 00.00.00.000,Rhönbräu Klosterbier,"7,75",36,"7,75",279,HILARION-Abastos,Venezuela,1
1997-03-31 00.00.00.000,Gula Malacca,"19,45",15,"16,532501","247,98752",Furia Bacalhau e Frutos do Mar,Portugal,1
1997-03-31 00.00.00.000,Original Frankfurter grüne Soße,"13,00",7,"11,05","77,35",Furia Bacalhau e Frutos do Mar,Portugal,1
1997-04-01 00.00.00.000,NuNuCa Nuß-Nougat-Creme,"14,00",60,"13,3",798,Bottom-Dollar Markets,Canada,0
1997-04-01 00.00.00.000,Singaporean Hokkien Fried Mee,"14,00",20,"13,3",266,Bottom-Dollar Markets,Canada,0
1997-04-02 00.00.00.000,Louisiana Fiery Hot Pepper Sauce,"21,05",15,"18,945","284,175",La maison d'Asie,France,1
1997-04-02 00.00.00.000,Louisiana Hot Spiced Okra,"17,00",10,"15,299999",153,La maison d'Asie,France,1
1997-04-02 00.00.00.000,Gudbrandsdalsost,"36,00",10,"32,399998","323,99997",La maison d'Asie,France,1
1997-04-02 00.00.00.000,Gnocchi di nonna Alice,"38,00",30,38,1140,Comércio Mineiro,Brazil,0
1997-04-03 00.00.00.000,Tunnbröd,"9,00",10,9,90,Laughing Bacchus Wine Cellars,Canada,0
1997-04-03 00.00.00.000,Jack's New England Clam Chowder,"9,65",20,"9,65",193,Laughing Bacchus Wine Cellars,Canada,0
1997-04-03 00.00.00.000,Original Frankfurter grüne Soße,"13,00",5,13,65,Laughing Bacchus Wine Cellars,Canada,0
1997-04-04 00.00.00.000,Gorgonzola Telino,"12,50",20,"11,875","237,5",Tradiçao Hipermercados,Brazil,0
1997-04-04 00.00.00.000,Gnocchi di nonna Alice,"38,00",14,38,532,Lehmanns Marktstand,Germany,1
1997-04-04 00.00.00.000,Mozzarella di Giovanni,"34,80",25,"34,8",870,Lehmanns Marktstand,Germany,1
1997-04-04 00.00.00.000,Original Frankfurter grüne Soße,"13,00",25,13,325,Lehmanns Marktstand,Germany,1
1997-04-07 00.00.00.000,Guaraná Fantástica,"4,50",14,"4,5",63,HILARION-Abastos,Venezuela,1
1997-04-07 00.00.00.000,Boston Crab Meat,"18,40",5,"18,4",92,HILARION-Abastos,Venezuela,1
1997-04-07 00.00.00.000,Singaporean Hokkien Fried Mee,"14,00",30,14,420,HILARION-Abastos,Venezuela,1
1997-04-08 00.00.00.000,Rössle Sauerkraut,"45,60",20,"45,6",912,LILA-Supermercado,Venezuela,1
1997-04-08 00.00.00.000,Maxilaku,"20,00",25,20,500,LILA-Supermercado,Venezuela,1
1997-04-09 00.00.00.000,Genen Shouyu,"15,50",12,"14,724999","176,7",La maison d'Asie,France,1
1997-04-09 00.00.00.000,Rössle Sauerkraut,"45,60",8,"43,32","346,56",La maison d'Asie,France,1
1997-04-09 00.00.00.000,Tourtière,"7,45",20,"7,45",149,Blauer See Delikatessen,Germany,1
1997-04-10 00.00.00.000,Rogede sild,"9,50",21,"9,5","199,5",Pericles Comidas clásicas,Mexico,0
1997-04-10 00.00.00.000,Perth Pasties,"32,80",6,"32,8","196,79999",Pericles Comidas clásicas,Mexico,0
1997-04-10 00.00.00.000,Laughing Lumberjack Lager,"14,00",30,14,420,Pericles Comidas clásicas,Mexico,0
1997-04-11 00.00.00.000,Tofu,"23,25",70,"23,25","1627,5",Hungry Owl All-Night Grocers,Ireland,1
1997-04-11 00.00.00.000,Louisiana Fiery Hot Pepper Sauce,"21,05",20,"21,05",421,Hungry Owl All-Night Grocers,Ireland,1
1997-04-11 00.00.00.000,Chang,"19,00",12,19,228,White Clover Markets,USA,0
1997-04-11 00.00.00.000,Sir Rodney's Scones,"10,00",12,10,120,White Clover Markets,USA,0
1997-04-11 00.00.00.000,Perth Pasties,"32,80",10,"32,8",328,White Clover Markets,USA,0
1997-04-11 00.00.00.000,Sirop d'érable,"28,50",25,"28,5","712,5",White Clover Markets,USA,0
1997-04-14 00.00.00.000,Tarte au sucre,"49,30",3,"49,3","147,9",Mère Paillarde,Canada,0
1997-04-15 00.00.00.000,NuNuCa Nuß-Nougat-Creme,"14,00",18,"12,599999","226,79999",Königlich Essen,Germany,1
1997-04-15 00.00.00.000,Outback Lager,"15,00",14,"13,5",189,Königlich Essen,Germany,1
1997-04-15 00.00.00.000,Ipoh Coffee,"46,00",15,"39,100002","586,50006",Antonio Moreno Taquería,Mexico,0
1997-04-15 00.00.00.000,Chocolade,"12,75",15,"10,837501","162,56252",Antonio Moreno Taquería,Mexico,0
1997-04-16 00.00.00.000,Konbu,"6,00",10,6,60,Ottilies Käseladen,Germany,1
1997-04-16 00.00.00.000,Chartreuse verte,"18,00",10,18,180,Ottilies Käseladen,Germany,1
1997-04-17 00.00.00.000,Rössle Sauerkraut,"45,60",3,"45,6","136,79999",Blauer See Delikatessen,Germany,1
1997-04-18 00.00.00.000,Thüringer Rostbratwurst,"123,79",36,"123,79","4456,44",Save-a-lot Markets,USA,0
1997-04-18 00.00.00.000,Rhönbräu Klosterbier,"7,75",36,"6,975","251,09999",Save-a-lot Markets,USA,0
1997-04-18 00.00.00.000,Chef Anton's Cajun Seasoning,"22,00",50,"18,7","935,00006",Bon app',France,1
1997-04-18 00.00.00.000,Uncle Bob's Organic Dried Pears,"30,00",50,"25,5",1275,Bon app',France,1
1997-04-18 00.00.00.000,Northwoods Cranberry Sauce,"40,00",10,34,340,Bon app',France,1
1997-04-21 00.00.00.000,Guaraná Fantástica,"4,50",10,"3,825","38,25",Familia Arquibaldo,Brazil,0
1997-04-21 00.00.00.000,Spegesild,"12,00",9,"10,200001","91,8",Familia Arquibaldo,Brazil,0
1997-04-21 00.00.00.000,Zaanse koeken,"9,50",6,"8,075","48,449997",Familia Arquibaldo,Brazil,0
1997-04-21 00.00.00.000,Camembert Pierrot,"34,00",12,"28,900002","346,80002",Familia Arquibaldo,Brazil,0
1997-04-22 00.00.00.000,Sir Rodney's Scones,"10,00",40,8,320,Die Wandernde Kuh,Germany,1
1997-04-22 00.00.00.000,Mascarpone Fabioli,"32,00",50,"25,6",1280,Die Wandernde Kuh,Germany,1
1997-04-22 00.00.00.000,Sirop d'érable,"28,50",15,"22,800001","342,00003",Die Wandernde Kuh,Germany,1
1997-04-22 00.00.00.000,Sir Rodney's Marmalade,"81,00",39,81,3159,Ernst Handel,Austria,1
1997-04-22 00.00.00.000,Rössle Sauerkraut,"45,60",35,"45,6",1596,Ernst Handel,Austria,1
1997-04-22 00.00.00.000,Gnocchi di nonna Alice,"38,00",70,38,2660,Ernst Handel,Austria,1
1997-04-22 00.00.00.000,Louisiana Fiery Hot Pepper Sauce,"21,05",39,"21,05","820,94995",Ernst Handel,Austria,1
1997-04-22 00.00.00.000,Rhönbräu Klosterbier,"7,75",50,"7,75","387,5",Ernst Handel,Austria,1
1997-04-23 00.00.00.000,Mishi Kobe Niku,"97,00",16,"82,450005","1319,2001",QUICK-Stop,Germany,1
1997-04-23 00.00.00.000,Pavlova,"17,45",50,"17,45","872,50006",QUICK-Stop,Germany,1
1997-04-23 00.00.00.000,Schoggi Schokolade,"43,90",120,"43,9",5268,QUICK-Stop,Germany,1
1997-04-23 00.00.00.000,Geitost,"2,50",16,"2,125",34,QUICK-Stop,Germany,1
1997-04-23 00.00.00.000,Camembert Pierrot,"34,00",84,"28,900002","2427,6",QUICK-Stop,Germany,1
1997-04-24 00.00.00.000,Carnarvon Tigers,"62,50",25,"56,25","1406,25",Hungry Owl All-Night Grocers,Ireland,1
1997-04-24 00.00.00.000,Jack's New England Clam Chowder,"9,65",80,"8,684999","694,7999",Hungry Owl All-Night Grocers,Ireland,1
1997-04-24 00.00.00.000,Singaporean Hokkien Fried Mee,"14,00",20,14,280,Hungry Owl All-Night Grocers,Ireland,1
1997-04-24 00.00.00.000,Filo Mix,"7,00",6,7,42,North/South,UK,1
1997-04-24 00.00.00.000,Raclette Courdavault,"55,00",4,55,220,North/South,UK,1
1997-04-24 00.00.00.000,Outback Lager,"15,00",6,15,90,North/South,UK,1
1997-04-25 00.00.00.000,Guaraná Fantástica,"4,50",5,"4,5","22,5",Tortuga Restaurante,Mexico,0
1997-04-25 00.00.00.000,Côte de Blaye,"263,50",15,"263,5","3952,5",Tortuga Restaurante,Mexico,0
1997-04-25 00.00.00.000,Gula Malacca,"19,45",9,"19,45","175,05",Tortuga Restaurante,Mexico,0
1997-04-28 00.00.00.000,Ikura,"31,00",16,"29,449999","471,19998",Chop-suey Chinese,Switzerland,1
1997-04-28 00.00.00.000,Gnocchi di nonna Alice,"38,00",40,38,1520,Chop-suey Chinese,Switzerland,1
1997-04-28 00.00.00.000,Camembert Pierrot,"34,00",10,"32,3",323,Chop-suey Chinese,Switzerland,1
1997-04-29 00.00.00.000,Guaraná Fantástica,"4,50",8,"4,5",36,Santé Gourmet,Norway,1
1997-04-29 00.00.00.000,Perth Pasties,"32,80",5,"32,8",164,Santé Gourmet,Norway,1
1997-04-29 00.00.00.000,Steeleye Stout,"18,00",3,18,54,Cactus Comidas para llevar,Argentina,0
1997-04-29 00.00.00.000,Jack's New England Clam Chowder,"9,65",10,"9,65","96,5",Cactus Comidas para llevar,Argentina,0
1997-04-29 00.00.00.000,Scottish Longbreads,"12,50",6,"12,5",75,Cactus Comidas para llevar,Argentina,0
1997-04-30 00.00.00.000,Chai,"18,00",40,"14,400001",576,Lehmanns Marktstand,Germany,1
1997-04-30 00.00.00.000,Northwoods Cranberry Sauce,"40,00",24,40,960,Lehmanns Marktstand,Germany,1
1997-04-30 00.00.00.000,Nord-Ost Matjeshering,"25,89",20,"20,712","414,24",Lehmanns Marktstand,Germany,1
1997-04-30 00.00.00.000,Boston Crab Meat,"18,40",25,"14,72",368,Lehmanns Marktstand,Germany,1
1997-05-01 00.00.00.000,Alice Mutton,"39,00",25,"35,1","877,49994",Seven Seas Imports,UK,1
1997-05-01 00.00.00.000,Sir Rodney's Marmalade,"81,00",15,"72,9","1093,5",Seven Seas Imports,UK,1
1997-05-01 00.00.00.000,Gravad lax,"26,00",18,"23,4","421,19998",Seven Seas Imports,UK,1
1997-05-01 00.00.00.000,Jack's New England Clam Chowder,"9,65",6,"8,684999","52,109997",Seven Seas Imports,UK,1
1997-05-01 00.00.00.000,Ikura,"31,00",2,31,62,Berglunds snabbköp,Sweden,1
1997-05-01 00.00.00.000,Nord-Ost Matjeshering,"25,89",10,"25,89","258,9",Berglunds snabbköp,Sweden,1
1997-05-01 00.00.00.000,Ipoh Coffee,"46,00",60,46,2760,Berglunds snabbköp,Sweden,1
1997-05-01 00.00.00.000,Tourtière,"7,45",15,"7,45","111,75",Berglunds snabbköp,Sweden,1
1997-05-02 00.00.00.000,Inlagd Sill,"19,00",30,19,570,Bon app',France,1
1997-05-02 00.00.00.000,Boston Crab Meat,"18,40",15,"16,56","248,4",Bon app',France,1
1997-05-05 00.00.00.000,Chai,"18,00",8,"15,3","122,4",Wartian Herkku,Finland,1
1997-05-05 00.00.00.000,Konbu,"6,00",10,6,60,Wartian Herkku,Finland,1
1997-05-05 00.00.00.000,Gnocchi di nonna Alice,"38,00",30,"32,3",969,Wartian Herkku,Finland,1
1997-05-05 00.00.00.000,Chef Anton's Cajun Seasoning,"22,00",50,"19,8","989,99994",QUICK-Stop,Germany,1
1997-05-05 00.00.00.000,Inlagd Sill,"19,00",30,"17,1",513,QUICK-Stop,Germany,1
1997-05-06 00.00.00.000,Queso Cabrales,"21,00",3,21,63,Great Lakes Food Market,USA,0
1997-05-06 00.00.00.000,Geitost,"2,50",8,2,16,Great Lakes Food Market,USA,0
1997-05-06 00.00.00.000,Mozzarella di Giovanni,"34,80",9,"34,8","313,19998",Great Lakes Food Market,USA,0
1997-05-07 00.00.00.000,Pâté chinois,"24,00",14,24,336,Maison Dewey,Belgium,1
1997-05-07 00.00.00.000,Scottish Longbreads,"12,50",20,"12,5",250,Maison Dewey,Belgium,1
1997-05-07 00.00.00.000,Gudbrandsdalsost,"36,00",10,36,360,Maison Dewey,Belgium,1
1997-05-08 00.00.00.000,Alice Mutton,"39,00",40,39,1560,Piccolo und mehr,Austria,1
1997-05-08 00.00.00.000,Ipoh Coffee,"46,00",25,46,1150,Piccolo und mehr,Austria,1
1997-05-08 00.00.00.000,Sirop d'érable,"28,50",20,"28,5",570,Piccolo und mehr,Austria,1
1997-05-08 00.00.00.000,Lakkalikööri,"18,00",50,18,900,Piccolo und mehr,Austria,1
1997-05-08 00.00.00.000,Raclette Courdavault,"55,00",2,55,110,Océano Atlántico Ltda.,Argentina,0
1997-05-09 00.00.00.000,Nord-Ost Matjeshering,"25,89",15,"25,89","388,34998",Eastern Connection,UK,1
1997-05-09 00.00.00.000,Louisiana Hot Spiced Okra,"17,00",24,17,408,Eastern Connection,UK,1
1997-05-12 00.00.00.000,Chef Anton's Cajun Seasoning,"22,00",50,"20,9",1045,Folk och fä HB,Sweden,1
1997-05-12 00.00.00.000,Mozzarella di Giovanni,"34,80",24,"34,8","835,19995",Folk och fä HB,Sweden,1
1997-05-12 00.00.00.000,Röd Kaviar,"15,00",24,"14,25",342,Folk och fä HB,Sweden,1
1997-05-12 00.00.00.000,Nord-Ost Matjeshering,"25,89",10,"25,89","258,9",Lehmanns Marktstand,Germany,1
1997-05-12 00.00.00.000,Boston Crab Meat,"18,40",10,"14,72","147,2",Lehmanns Marktstand,Germany,1
1997-05-12 00.00.00.000,Tourtière,"7,45",10,"5,96","59,6",Lehmanns Marktstand,Germany,1
1997-05-13 00.00.00.000,Queso Cabrales,"21,00",50,"18,9",945,Antonio Moreno Taquería,Mexico,0
1997-05-13 00.00.00.000,Boston Crab Meat,"18,40",10,"16,56","165,59999",Antonio Moreno Taquería,Mexico,0
1997-05-13 00.00.00.000,Ravioli Angelo,"19,50",5,"17,55","87,75",Antonio Moreno Taquería,Mexico,0
1997-05-13 00.00.00.000,Raclette Courdavault,"55,00",15,"49,5","742,5",Antonio Moreno Taquería,Mexico,0
1997-05-14 00.00.00.000,Queso Manchego La Pastora,"38,00",15,"28,5","427,5",Lehmanns Marktstand,Germany,1
1997-05-14 00.00.00.000,Gorgonzola Telino,"12,50",20,"12,5",250,Lehmanns Marktstand,Germany,1
1997-05-14 00.00.00.000,Geitost,"2,50",30,"2,5",75,Lehmanns Marktstand,Germany,1
1997-05-14 00.00.00.000,Camembert Pierrot,"34,00",35,"25,5","892,5",Lehmanns Marktstand,Germany,1
1997-05-14 00.00.00.000,Gorgonzola Telino,"12,50",30,"12,5",375,Richter Supermarkt,Switzerland,1
1997-05-14 00.00.00.000,Manjimup Dried Apples,"53,00",6,53,318,Richter Supermarkt,Switzerland,1
1997-05-14 00.00.00.000,Escargots de Bourgogne,"13,25",20,"13,25",265,Richter Supermarkt,Switzerland,1
1997-05-14 00.00.00.000,Mozzarella di Giovanni,"34,80",21,"34,8","730,8",Richter Supermarkt,Switzerland,1
1997-05-14 00.00.00.000,Röd Kaviar,"15,00",9,15,135,Richter Supermarkt,Switzerland,1
1997-05-15 00.00.00.000,Outback Lager,"15,00",7,15,105,B's Beverages,UK,1
1997-05-15 00.00.00.000,Mozzarella di Giovanni,"34,80",1,"34,8","34,8",B's Beverages,UK,1
1997-05-16 00.00.00.000,Konbu,"6,00",8,6,48,B's Beverages,UK,1
1997-05-16 00.00.00.000,Sir Rodney's Scones,"10,00",15,10,150,B's Beverages,UK,1
1997-05-16 00.00.00.000,Geitost,"2,50",15,"2,5","37,5",B's Beverages,UK,1
1997-05-16 00.00.00.000,Maxilaku,"20,00",6,20,120,B's Beverages,UK,1
1997-05-19 00.00.00.000,Aniseed Syrup,"10,00",60,10,600,QUICK-Stop,Germany,1
